,log_sale_price
0,5.307496037913213
1,5.190331698170292
2,5.418765174994478
3,5.1003705451175625
4,5.302114376956201
5,5.2405492482825995
6,5.133538908370218
7,5.267171728403014
8,5.633468455579586
9,5.110589710299249
10,5.217483944213907
11,4.778151250383644
12,5.262925469331831
13,5.146128035678238
14,5.301029995663981
15,5.336459733848529
16,5.3222192947339195
17,5.033423755486949
18,5.264817823009537
19,5.138144744179487
20,4.939519252618618
21,5.2552725051033065
22,5.079181246047625
23,5.303196057420489
24,5.201397124320452
25,4.968482948553935
26,5.1702617153949575
27,5.2878017299302265
28,5.174205226940147
29,5.226599905207357
30,4.991226075692495
31,5.161368002234975
32,5.390051496458987
33,5.293362554711446
34,5.1702617153949575
35,5.283301228703549
36,5.18564696214057
37,5.511883360978874
38,5.243038048686294
39,5.257999977793136
40,5.380211241711606
41,5.102090525511836
42,5.05307844348342
43,4.897627091290442
44,5.193124598354461
45,5.311753861055754
46,5.267171728403014
47,5.491361693834273
48,5.498310553789601
49,5.2455126678141495
50,5.262213705476417
51,5.0
52,5.238046103128795
53,5.05307844348342
54,4.921686475483602
55,4.748133736802754
56,5.1673173347481764
57,5.173186268412274
58,5.367672672705433
59,5.187520720836463
60,5.161368002234975
61,5.379305517750582
62,5.2878017299302265
63,5.480006942957151
64,5.14921911265538
65,5.311753861055754
66,5.424718337331567
67,5.605155226423855
68,5.080987046910887
69,5.315970345456917
70,5.146128035678238
71,5.3979400086720375
72,5.020775488193558
73,5.204119982655925
74,5.093421685162235
75,5.113943352306837
76,5.031408464251625
77,5.2455126678141495
78,5.574031267727719
79,5.408239965311849
80,5.278753600952829
81,5.161368002234975
82,5.311753861055754
83,5.626340367375042
84,4.959041392321094
85,5.254064452914338
86,5.096910013008056
87,5.378397900948138
88,5.164352855784437
89,5.027349607774757
90,5.362670929725667
91,5.252853030979893
92,4.944482672150168
93,5.285557309007774
94,5.391954325687043
95,5.107209969647869
96,5.232996110392154
97,5.371067862271736
98,5.499343359227368
99,5.418301291319746
100,5.243038048686294
101,5.127104798364807
102,5.108903127667313
103,5.156851901070011
104,5.528273777167044
105,5.232996110392154
106,5.161368002234975
107,5.513217600067939
108,5.060697840353612
109,5.394451680826216
110,5.379847367689488
111,5.217483944213907
112,5.439332693830263
113,5.544068044350276
114,5.071882007306125
115,5.075546961392531
116,5.439174739843469
117,5.204119982655925
118,5.246707799275905
119,5.217483944213907
120,5.143014800254095
121,5.352182518111363
122,5.112269768417271
123,5.347330015316951
124,5.438898182056245
125,5.388456452700266
126,5.20002926655377
127,5.5680843313153945
128,5.117271295655764
129,5.4623979978989565
130,5.346352974450639
131,4.929418925714293
132,4.9344984512435675
133,5.655090390729038
134,5.176091259055681
135,5.346352974450639
136,5.315970345456917
137,5.383815365980431
138,5.126131407261984
139,4.9084850188786495
140,5.0463000196529695
141,5.2405492482825995
142,4.977723605288848
143,5.161368002234975
144,5.295567099962479
145,5.075546961392531
146,5.1156105116743
147,5.217878578027433
148,5.146128035678238
149,4.9164539485499255
150,5.406369835469268
151,4.9084850188786495
152,5.17897694729317
153,5.245265839457462
154,5.237506037332754
155,5.278753600952829
156,5.208172526667122
157,5.328175661438323
158,5.198657086954422
159,5.4281347940287885
160,5.555215405126073
161,5.02530586526477
162,5.02938377768521
163,5.112269768417271
164,5.744292983122676
165,5.214843848047698
166,5.330413773349191
167,5.255031163345551
168,5.5938396610812715
169,5.222716471147583
170,5.365487984890899
171,5.346352974450639
172,5.212187604403958
173,4.7160033436347994
174,5.039414119176137
175,5.139879086401237
176,5.1303337684950066
177,5.079181246047625
178,4.835056101720117
179,5.068185861746161
180,4.54282542695918
181,5.027349607774757
182,5.3222192947339195
183,5.14921911265538
184,5.47928731647617
185,4.951682291395551
186,5.113943352306837
187,5.453318340047038
188,5.57287160220048
189,5.190331698170292
190,5.556302500767287
191,5.275771900164932
192,5.238046103128795
193,5.077367905284157
194,5.3560258571931225
195,5.522663281777946
196,5.0916669575956846
197,5.795880017344075
198,5.0700378666077555
199,5.424847348871119
200,5.146128035678238
201,5.371067862271736
202,5.2576785748691846
203,5.70056267830869
204,5.086359830674748
205,5.098643725817057
206,5.301029995663981
207,5.153814864344529
208,5.331427296520743
209,5.107209969647869
210,5.36660971039243
211,5.118925752825777
212,5.273001272063738
213,5.288919605661727
